generation_id,source_id,model,prompt_condition,output_headline,source_relevance,local_specificity,topic_nuance_target,satirical_bite,coherence_nonrandomness,failure_tags,notes,scorer
local_satire_741e912618,deltopia_alternative_001,gemini-3.5-flash,generic_issue,"Isla Vista Officials Hope To Recreate Magic Of Deltopia With Fenced-In Parking Lot, Two Food Trucks, And 9:00 PM Curfew",5,4,4,4,5,,Strong Deltopia/Soltopia control-vs-chaos frame; good concrete absurd details.,gpt-5.5-thinking
local_satire_52753cc1ac,deltopia_alternative_001,gemini-3.5-flash,source_grounded,"Isla Vista Officials Confident $250,000 Government-Sanctioned ‘Novatopia’ Will Successfully Capture Carefree Spirit of Unregulated Street Party",4,5,5,4,4,hallucinated_local_detail,"Hits government-sanctioned replacement tension well, but 'Novatopia' appears unsupported by source context.",gpt-5.5-thinking
local_satire_cf4b8f09a1,deltopia_alternative_001,gemini-3.5-flash,target_first_rank,"IVCSD Promises Proposed 'Novatopia' Festival Will Have All the Thrills of Deltopia Plus a $250,000 Wristband-Verification Queue",4,5,5,5,4,hallucinated_local_detail,Best bureaucratic punchline in this source set; 'Novatopia' naming looks unsupported.,gpt-5.5-thinking
local_satire_cbb8a9277c,deltopia_alternative_001,gpt-5.4-mini,generic_issue,"Isla Vista Officials Announce Safer, More Controlled Deltopia Where Students Can Still Make Terrible Decisions in Designated Areas",5,4,4,3,5,grounded_but_not_funny,"Clearly relevant, but the designated-areas gag is safer than sharp.",gpt-5.5-thinking
local_satire_6f68b8073b,deltopia_alternative_001,gpt-5.4-mini,source_grounded,"Isla Vista Officials Unveil $250,000 Plan to Replace Deltopia With More Permitted Deltopia",5,5,5,4,5,,Clean compact target: permitted imitation of an unpermitted tradition.,gpt-5.5-thinking
local_satire_5ddb8d52ff,deltopia_alternative_001,gpt-5.4-mini,target_first_rank,"Isla Vista Officials Announce Deltopia Replacement That Is Somehow Even More Organized, Expensive, and Deltopia-Like",5,4,4,4,5,,Coherent and relevant; less locally textured than the best Deltopia entries.,gpt-5.5-thinking
local_satire_62380deb8a,ucsb_bear_sighting_001,gemini-3.5-flash,generic_issue,UCSB Administrators Assure Students That Bear Sighted Near Campus Lacks the GPA Required to Enter Davidson Library,3,5,3,4,4,"funny_but_not_grounded,misses_source_tension","Funny campus-specific misdirection, but bear/GPA/library is mostly detached from the actual bear-alert tension.",gpt-5.5-thinking
local_satire_f55ff3cd95,ucsb_bear_sighting_001,gemini-3.5-flash,source_grounded,UCSB Emergency Alert Warns Students To Treat Bear With Same Avoidance Tactics Used For Campus Recruiters,4,4,3,4,4,,Bear-alert frame lands; campus-recruiter comparison is funny but not very source-specific.,gpt-5.5-thinking
local_satire_a5d4395858,ucsb_bear_sighting_001,gemini-3.5-flash,target_first_rank,"UCPD Warns Students Facing Black Bear Near Pollock Theater To Make Themselves Look Like A Large, Threatening Midterm Curve**",5,5,3,3,3,random_absurdity,"Pollock detail grounds it, but 'large threatening midterm curve' is strained and has formatting artifact.",gpt-5.5-thinking
local_satire_cc047b1f97,ucsb_bear_sighting_001,gpt-5.4-mini,generic_issue,"UCSB Issues Bear Alert, Reassures Students the Real Danger Is Still Finding Parking in Goleta",3,4,2,3,4,misses_source_tension,Uses bear as setup for an IV parking tangent; coherent but not really about the bear story.,gpt-5.5-thinking
local_satire_833c2ed954,ucsb_bear_sighting_001,gpt-5.4-mini,source_grounded,"UCSB Sends Bear Emergency Alert, Urges Students to Stand Tall and Act Like They’ve Seen a Syllabus",4,3,3,3,4,grounded_but_not_funny,"Source-relevant emergency-alert structure, but the syllabus joke feels generic.",gpt-5.5-thinking
local_satire_d96fe5a912,ucsb_bear_sighting_001,gpt-5.4-mini,target_first_rank,"UCSB Issues Emergency Alert, Then Realizes It’s Just a Bear Trying to Find Pollock Theater",5,5,2,3,4,grounded_but_not_funny,Pollock Theater localizes it well; mostly a cute observation rather than satire.,gpt-5.5-thinking
local_satire_64fa8c88a4,jesus_burgers_001,gemini-3.5-flash,generic_issue,Local Sophomore Only Accepts Jesus Christ as Savior Between Hours of 11:00 PM and 2:00 AM on Friday Nights**,5,4,5,5,5,,Very strong transaction-of-faith joke; extra trailing asterisks are only a presentation artifact.,gpt-5.5-thinking
local_satire_1d93e3658f,jesus_burgers_001,gemini-3.5-flash,source_grounded,Local Christian Group Trying To Save Souls By Giving Drunk UCSB Students The Only Thing They Actually Care About,5,4,5,4,5,,Clear target: evangelism meets drunk-student incentives.,gpt-5.5-thinking
local_satire_6738a94882,jesus_burgers_001,gemini-3.5-flash,target_first_rank,Local Student Not Entirely Sure If He Accepted Jesus Christ As His Savior Or Just Really Wanted A Slice Of American Cheese,5,4,5,5,5,,Sharpest Jesus Burgers model entry; strong ambiguity between conversion and cheese craving.,gpt-5.5-thinking
local_satire_d68625d83e,jesus_burgers_001,gpt-5.4-mini,generic_issue,"Jesus Burgers Tradition Helps Isla Vista Students Find God, Free Food, and A Reason to Stay on Del Playa Until 2 A.M.",5,5,4,4,5,,Good Del Playa local grounding and coherent tradition/nightlife joke.,gpt-5.5-thinking
local_satire_32571de8ae,jesus_burgers_001,gpt-5.4-mini,source_grounded,"Isla Vista’s Friday-Night Economy Now Powered by Free Burgers, Blessings and Regrettable Decisions",5,4,4,4,5,,Well-grounded in food/blessing/regret economy; solid but less pointed.,gpt-5.5-thinking
local_satire_d0997ca802,jesus_burgers_001,gpt-5.4-mini,target_first_rank,"Jesus Burgers Now Most Reliable Thing On Del Playa Besides Regret, Hunger, And A Free Blessing",5,5,4,5,5,,"Compact, locally grounded, and punchy.",gpt-5.5-thinking
local_satire_fb68717cb4,iv_parking_compliance_001,gemini-3.5-flash,generic_issue,Isla Vista Student Ready to Risk $150 Street-Sweeping Ticket Just to See What Happens to Tina the Toad in the Tow Yard,3,5,3,4,3,"hallucinated_local_detail,misses_source_tension","Tina grounds it, but street-sweeping/$150/tow-yard details drift from the parking-compliance source.",gpt-5.5-thinking
local_satire_7c2f725e1f,iv_parking_compliance_001,gemini-3.5-flash,source_grounded,Isla Vista Hopes Cute Gen Z Mascot Will Soften Blow of Getting Ticketed to Fund Her Own Salary,5,4,5,4,5,,Good PR/enforcement target: cute mascot softening fines.,gpt-5.5-thinking
local_satire_c63afbd4ca,iv_parking_compliance_001,gemini-3.5-flash,target_first_rank,Friendly Gen-Z Toad Mascot Deployed to Gently Explain Why Your Car Is Being Towed to Finance Her Salary**,5,4,5,4,4,,Strong enforcement-finance joke; trailing asterisks are a presentation artifact.,gpt-5.5-thinking
local_satire_c54227fc15,iv_parking_compliance_001,gpt-5.4-mini,generic_issue,"Isla Vista Launches Parking Compliance Program, Deploys Tina the Toad to Guilt Students Into Moving Their Cars Every 72 Hours",5,5,4,4,5,,Very source-faithful 72-hour/Tina framing; more explanatory than surprising.,gpt-5.5-thinking
local_satire_b3161c70e5,iv_parking_compliance_001,gpt-5.4-mini,source_grounded,Isla Vista Parking Crisis Solved by Gen Z Toad Who Will Politely Ticket You Into Compliance,5,5,4,4,5,,Good concise version of the mascot-compliance tension.,gpt-5.5-thinking
local_satire_fb35558092,iv_parking_compliance_001,gpt-5.4-mini,target_first_rank,Isla Vista Launches Gen Z Toad Mascot To Explain Why Your Car Is Still Getting Ticketed,5,4,4,3,5,grounded_but_not_funny,"Accurate and coherent, but close to a plain joke-template restatement.",gpt-5.5-thinking
local_satire_90dfceec46,ucsb_commencement_reversal_001,gemini-3.5-flash,generic_issue,UCSB Administrators Quietly Move Commencement Back to Campus After Realizing Angry Seniors Already Have Pitchforks Left Over from Deltopia,4,4,3,4,4,,Student-outcry angle works; Deltopia pitchforks are funny but a bit tangential.,gpt-5.5-thinking
local_satire_7c6afab5d4,ucsb_commencement_reversal_001,gemini-3.5-flash,source_grounded,UCSB Administrators Relieved To Learn Students Unbothered By Having High School and College Graduations Ruined,4,3,4,4,4,,Interesting COVID/high-school graduation angle; less UCSB-specific than top entries.,gpt-5.5-thinking
local_satire_d3ec4a61fb,ucsb_commencement_reversal_001,gemini-3.5-flash,target_first_rank,UCSB Grads Relieved They Will Now Get To Walk Across Scenic Lawn Instead Of Chain-Link Security Perimeter,5,5,5,5,5,,Excellent: scenic lawn vs security perimeter captures the real institutional tension.,gpt-5.5-thinking
local_satire_4ca9cbf762,ucsb_commencement_reversal_001,gpt-5.4-mini,generic_issue,UCSB Reverses Commencement Relocation After Students Remind Administrators That “The Beach” Is Still Right There,4,5,3,3,5,grounded_but_not_funny,"Local beach/lawn appeal is coherent, but the satirical target is mild.",gpt-5.5-thinking
local_satire_20509c7a5b,ucsb_commencement_reversal_001,gpt-5.4-mini,source_grounded,"UCSB, After Briefly Treating Commencement Like a Security Threat, Restores Students’ Right to Graduate on Lagoon Lawn",5,5,5,4,5,,Strong source-grounded institutional critique; slightly more headline-summary than joke.,gpt-5.5-thinking
local_satire_c673bd6628,ucsb_commencement_reversal_001,gpt-5.4-mini,target_first_rank,UCSB Reverses Plan to Move Commencement After Realizing Students Were Looking Forward to Graduating Somewhere Nice,5,4,3,3,5,grounded_but_not_funny,"Relevant and coherent, but mostly says 'students wanted a nice place' plainly.",gpt-5.5-thinking
local_satire_f2a4395177,extravaganza_lineup_announcement_001,gemini-3.5-flash,generic_issue,ASSU Admits Extravaganza 2026 Lineup Was Generated by Asking ChatGPT to Describe a ‘Vaguely Coachella-Adjacent Fever Dream’**,4,2,4,4,4,hallucinated_local_detail,"Lineup taste joke works, but 'ASSU' is not the UCSB event org and weakens local grounding.",gpt-5.5-thinking
local_satire_1658c60821,extravaganza_lineup_announcement_001,gemini-3.5-flash,source_grounded,UCSB Student Body Briefly Pauses Relentless Cyberbullying Of Event Organizers After Dominic Fike Lineup Announcement,5,5,5,4,5,,Good student-reaction/organizer-harassment target around Dominic Fike announcement.,gpt-5.5-thinking
local_satire_66cbd47184,extravaganza_lineup_announcement_001,gemini-3.5-flash,target_first_rank,ASPB Organizers Quietly Lock Themselves in Office After Announcing Dominic Fike Instead of Reincarnated Jimi Hendrix,4,4,3,4,4,,"Captures impossible expectations, but Jimi Hendrix comparison is broad and less source-specific.",gpt-5.5-thinking
local_satire_22c2f865e7,extravaganza_lineup_announcement_001,gpt-5.4-mini,generic_issue,Campus Erupts as Extravaganza 2026 Lineup Finally Gives Students Exactly One Artist They’ve Pretended to Like Since Freshman Year,5,4,4,4,5,,Solid social-performance joke about knowing the headliner.,gpt-5.5-thinking
local_satire_25687b6272,extravaganza_lineup_announcement_001,gpt-5.4-mini,source_grounded,UCSB Students React to Extravaganza 2026 Lineup by Comparing It to Every Headliner They’ve Ever Seen on Instagram,5,4,4,3,5,grounded_but_not_funny,"Relevant and believable, but weaker comic turn.",gpt-5.5-thinking
local_satire_586c1b2444,extravaganza_lineup_announcement_001,gpt-5.4-mini,target_first_rank,UCSB Students Declare Extravaganza 2026 “Actually Pretty Good” After Briefly Pretending To Know All Four Artists,5,4,5,5,5,,Very strong: targets student status-performance around recognizing all four artists.,gpt-5.5-thinking
human_baseline_deltopia_alternative_001,deltopia_alternative_001,human_nexustentialism,human_baseline,"Deltopia canceled, UCSB to shut down permanently",4,5,4,4,4,,Actual-style hyperbole: treats Deltopia as so central that cancellation kills the institution.,gpt-5.5-thinking
human_baseline_ucsb_bear_sighting_001,ucsb_bear_sighting_001,human_nexustentialism,human_baseline,Bear shows up too late for Deltopis :(,3,5,2,4,3,funny_but_not_grounded,"Whimsical local timing joke; funny voice, but lightly connected to the bear-alert source tension.",gpt-5.5-thinking
human_baseline_jesus_burgers_001,jesus_burgers_001,human_nexustentialism,human_baseline,Jesus Burgers replaced by Satan’s Hot Dogs,4,5,4,5,5,,Simple polarity flip with strong local brand recognition and clean comic premise.,gpt-5.5-thinking
human_baseline_iv_parking_compliance_001,iv_parking_compliance_001,human_nexustentialism,human_baseline,parking scarcity drives students to stack cars,4,5,4,5,5,,Good IV parking scarcity exaggeration; less tied to Tina/72-hour enforcement but nails the local pressure.,gpt-5.5-thinking
human_baseline_ucsb_commencement_reversal_001,ucsb_commencement_reversal_001,human_nexustentialism,human_baseline,"Commencement relocated to Girvetz room 1112, maximum capacity 40",5,5,5,5,5,,Excellent local specificity and absurd downscaling; directly targets venue/ticket-cap anxiety.,gpt-5.5-thinking
human_baseline_extravaganza_lineup_announcement_001,extravaganza_lineup_announcement_001,human_nexustentialism,human_baseline,Extravaganza lineup unites gays and straights alike,4,4,4,5,5,,Strong social-coalition joke around lineup taste; very compact actual-satire voice.,gpt-5.5-thinking
